Name,RA,DEC,Redshift,Distance,C,A,Gini,M20
A119_00001,0.0,0.0,0.040365,0.0,0.0,0.0,0.0,0.0
A119_00002,0.0,0.0,0.049786303,0.0,0.0,0.0,0.0,0.0
A119_00003,0.0,0.0,0.041235,0.0,0.0,0.0,0.0,0.0
A119_00004,0.0,0.0,0.043719403,0.0,0.0,0.0,0.0,0.0
A119_00005,0.0,0.0,0.042267334,0.0,0.0,0.0,0.0,0.0
A119_00006,0.0,0.0,0.048625406,0.0,0.0,0.0,0.0,0.0
A119_00007,0.0,0.0,0.0442,0.0,0.0,0.0,0.0,0.0
A119_00008,0.0,0.0,0.041575,0.0,0.0,0.0,0.0,0.0
A119_00009,0.0,0.0,0.045118,0.0,0.0,0.0,0.0,0.0
A119_00010,0.0,0.0,0.04453976,0.0,0.0,0.0,0.0,0.0
A119_00011,0.0,0.0,0.039107054,0.0,0.0,0.0,0.0,0.0
A119_00012,0.0,0.0,0.03911899,0.0,0.0,0.0,0.0,0.0
A119_00013,0.0,0.0,0.03778857,0.0,0.0,0.0,0.0,0.0
A119_00014,0.0,0.0,0.03858,0.0,0.0,0.0,0.0,0.0
A119_00015,0.0,0.0,0.044108227,0.0,0.0,0.0,0.0,0.0
A119_00016,0.0,0.0,0.03814292,0.0,0.0,0.0,0.0,0.0
A119_00017,0.0,0.0,0.041686144,0.0,0.0,0.0,0.0,0.0
A119_00018,0.0,0.0,0.047936,0.0,0.0,0.0,0.0,0.0
A119_00019,0.0,0.0,0.037783,0.0,0.0,0.0,0.0,0.0
A119_00020,0.0,0.0,0.045895327,0.0,0.0,0.0,0.0,0.0
A119_00021,0.0,0.0,0.03823188,0.0,0.0,0.0,0.0,0.0
A119_00022,0.0,0.0,0.0436996,0.0,0.0,0.0,0.0,0.0
A119_00023,0.0,0.0,0.039254,0.0,0.0,0.0,0.0,0.0
A119_00024,0.0,0.0,0.04491045,0.0,0.0,0.0,0.0,0.0
A119_00025,0.0,0.0,0.036824662,0.0,0.0,0.0,0.0,0.0
A119_00026,0.0,0.0,0.043688964,0.0,0.0,0.0,0.0,0.0
A119_00027,0.0,0.0,0.04569421,0.0,0.0,0.0,0.0,0.0
A119_00028,0.0,0.0,0.03859,0.0,0.0,0.0,0.0,0.0
A119_00029,0.0,0.0,0.043393992,0.0,0.0,0.0,0.0,0.0
A119_00030,0.0,0.0,0.04805176,0.0,0.0,0.0,0.0,0.0
A119_00031,0.0,0.0,0.037232,0.0,0.0,0.0,0.0,0.0
A119_00032,0.0,0.0,0.042142995,0.0,0.0,0.0,0.0,0.0
A119_00033,0.0,0.0,0.040011,0.0,0.0,0.0,0.0,0.0
A119_00034,0.0,0.0,0.043727,0.0,0.0,0.0,0.0,0.0
A119_00035,0.0,0.0,0.049266238,0.0,0.0,0.0,0.0,0.0
A119_00036,0.0,0.0,0.04495525,0.0,0.0,0.0,0.0,0.0
A119_00037,0.0,0.0,0.043483768,0.0,0.0,0.0,0.0,0.0
A119_00038,0.0,0.0,0.04469544,0.0,0.0,0.0,0.0,0.0
A119_00039,0.0,0.0,0.04304825,0.0,0.0,0.0,0.0,0.0
A119_00040,0.0,0.0,0.047176,0.0,0.0,0.0,0.0,0.0
A119_00041,0.0,0.0,0.045956407,0.0,0.0,0.0,0.0,0.0
A119_00042,0.0,0.0,0.036799297,0.0,0.0,0.0,0.0,0.0
A119_00043,0.0,0.0,0.047746,0.0,0.0,0.0,0.0,0.0
A119_00044,0.0,0.0,0.047206,0.0,0.0,0.0,0.0,0.0
A119_00045,0.0,0.0,0.048266,0.0,0.0,0.0,0.0,0.0
A119_00046,0.0,0.0,0.04425482,0.0,0.0,0.0,0.0,0.0
A119_00047,0.0,0.0,0.04455142,0.0,0.0,0.0,0.0,0.0
A119_00048,0.0,0.0,0.04436291,0.0,0.0,0.0,0.0,0.0
A119_00049,0.0,0.0,0.04725822,0.0,0.0,0.0,0.0,0.0
