Name,RA,DEC,Redshift,Distance,C,A,Gini,M20
MKW6_00001,0.0,0.0,0.0512,0.0,0.0,0.0,0.0,0.0
MKW6_00002,0.0,0.0,0.05247436,0.0,0.0,0.0,0.0,0.0
MKW6_00003,0.0,0.0,0.05620623,0.0,0.0,0.0,0.0,0.0
MKW6_00004,0.0,0.0,0.05295466,0.0,0.0,0.0,0.0,0.0
MKW6_00005,0.0,0.0,0.05543428,0.0,0.0,0.0,0.0,0.0
MKW6_00006,0.0,0.0,0.04921,0.0,0.0,0.0,0.0,0.0
MKW6_00007,0.0,0.0,0.05609,0.0,0.0,0.0,0.0,0.0
MKW6_00008,0.0,0.0,0.0586163,0.0,0.0,0.0,0.0,0.0
MKW6_00009,0.0,0.0,0.053487573,0.0,0.0,0.0,0.0,0.0
MKW6_00010,0.0,0.0,0.054884817,0.0,0.0,0.0,0.0,0.0
MKW6_00011,0.0,0.0,0.05267,0.0,0.0,0.0,0.0,0.0
MKW6_00012,0.0,0.0,0.051942,0.0,0.0,0.0,0.0,0.0
MKW6_00013,0.0,0.0,0.0552,0.0,0.0,0.0,0.0,0.0
MKW6_00014,0.0,0.0,0.051542785,0.0,0.0,0.0,0.0,0.0
MKW6_00015,0.0,0.0,0.053167425,0.0,0.0,0.0,0.0,0.0
MKW6_00016,0.0,0.0,0.05415,0.0,0.0,0.0,0.0,0.0
MKW6_00017,0.0,0.0,0.0521,0.0,0.0,0.0,0.0,0.0
MKW6_00018,0.0,0.0,0.054743588,0.0,0.0,0.0,0.0,0.0
MKW6_00019,0.0,0.0,0.05523,0.0,0.0,0.0,0.0,0.0
MKW6_00020,0.0,0.0,0.05330001,0.0,0.0,0.0,0.0,0.0
MKW6_00021,0.0,0.0,0.05390016,0.0,0.0,0.0,0.0,0.0
MKW6_00022,0.0,0.0,0.05115304,0.0,0.0,0.0,0.0,0.0
MKW6_00023,0.0,0.0,0.054689,0.0,0.0,0.0,0.0,0.0
MKW6_00024,0.0,0.0,0.05456,0.0,0.0,0.0,0.0,0.0
MKW6_00025,0.0,0.0,0.05755,0.0,0.0,0.0,0.0,0.0
MKW6_00026,0.0,0.0,0.053056244,0.0,0.0,0.0,0.0,0.0
MKW6_00027,0.0,0.0,0.051543884,0.0,0.0,0.0,0.0,0.0
MKW6_00028,0.0,0.0,0.0530779,0.0,0.0,0.0,0.0,0.0
MKW6_00029,0.0,0.0,0.058502726,0.0,0.0,0.0,0.0,0.0
MKW6_00030,0.0,0.0,0.051532734,0.0,0.0,0.0,0.0,0.0
MKW6_00031,0.0,0.0,0.052500185,0.0,0.0,0.0,0.0,0.0
MKW6_00032,0.0,0.0,0.054748904,0.0,0.0,0.0,0.0,0.0
MKW6_00033,0.0,0.0,0.054021016,0.0,0.0,0.0,0.0,0.0
MKW6_00034,0.0,0.0,0.05418004,0.0,0.0,0.0,0.0,0.0
MKW6_00035,0.0,0.0,0.05451456,0.0,0.0,0.0,0.0,0.0
MKW6_00036,0.0,0.0,0.058099404,0.0,0.0,0.0,0.0,0.0
MKW6_00037,0.0,0.0,0.054117337,0.0,0.0,0.0,0.0,0.0
MKW6_00038,0.0,0.0,0.051409267,0.0,0.0,0.0,0.0,0.0
MKW6_00039,0.0,0.0,0.0677669718861579,0.0,0.0,0.0,0.0,0.0
MKW6_00040,0.0,0.0,0.052592676,0.0,0.0,0.0,0.0,0.0
MKW6_00041,0.0,0.0,0.05506,0.0,0.0,0.0,0.0,0.0
MKW6_00042,0.0,0.0,0.056795172,0.0,0.0,0.0,0.0,0.0
MKW6_00043,0.0,0.0,0.055924594,0.0,0.0,0.0,0.0,0.0
MKW6_00044,0.0,0.0,0.057155475,0.0,0.0,0.0,0.0,0.0
MKW6_00045,0.0,0.0,0.05545208,0.0,0.0,0.0,0.0,0.0
MKW6_00046,0.0,0.0,0.054442037,0.0,0.0,0.0,0.0,0.0
MKW6_00047,0.0,0.0,0.05628,0.0,0.0,0.0,0.0,0.0
MKW6_00048,0.0,0.0,0.053746454,0.0,0.0,0.0,0.0,0.0
MKW6_00049,0.0,0.0,0.050069887,0.0,0.0,0.0,0.0,0.0
MKW6_00050,0.0,0.0,0.05862,0.0,0.0,0.0,0.0,0.0
MKW6_00051,0.0,0.0,0.05535275,0.0,0.0,0.0,0.0,0.0
MKW6_00052,0.0,0.0,0.052582663,0.0,0.0,0.0,0.0,0.0
MKW6_00053,0.0,0.0,0.054546375,0.0,0.0,0.0,0.0,0.0
MKW6_00054,0.0,0.0,0.054896716,0.0,0.0,0.0,0.0,0.0
MKW6_00055,0.0,0.0,0.0518,0.0,0.0,0.0,0.0,0.0
MKW6_00056,0.0,0.0,0.052702256,0.0,0.0,0.0,0.0,0.0
MKW6_00057,0.0,0.0,0.05677,0.0,0.0,0.0,0.0,0.0
MKW6_00058,0.0,0.0,0.057989724,0.0,0.0,0.0,0.0,0.0
MKW6_00059,0.0,0.0,0.055940304,0.0,0.0,0.0,0.0,0.0
MKW6_00060,0.0,0.0,0.04993914,0.0,0.0,0.0,0.0,0.0
MKW6_00061,0.0,0.0,0.04988,0.0,0.0,0.0,0.0,0.0
MKW6_00062,0.0,0.0,0.05641352,0.0,0.0,0.0,0.0,0.0
MKW6_00063,0.0,0.0,0.05442502,0.0,0.0,0.0,0.0,0.0
MKW6_00064,0.0,0.0,0.053951036,0.0,0.0,0.0,0.0,0.0
MKW6_00065,0.0,0.0,0.0538,0.0,0.0,0.0,0.0,0.0
MKW6_00066,0.0,0.0,0.055377986,0.0,0.0,0.0,0.0,0.0
MKW6_00067,0.0,0.0,0.057437204,0.0,0.0,0.0,0.0,0.0
MKW6_00068,0.0,0.0,0.054861937,0.0,0.0,0.0,0.0,0.0
MKW6_00069,0.0,0.0,0.05560484,0.0,0.0,0.0,0.0,0.0
MKW6_00070,0.0,0.0,0.05432953,0.0,0.0,0.0,0.0,0.0
MKW6_00071,0.0,0.0,0.053022232,0.0,0.0,0.0,0.0,0.0
MKW6_00072,0.0,0.0,0.054975573,0.0,0.0,0.0,0.0,0.0
MKW6_00073,0.0,0.0,0.056111243,0.0,0.0,0.0,0.0,0.0
MKW6_00074,0.0,0.0,0.05216701,0.0,0.0,0.0,0.0,0.0
MKW6_00075,0.0,0.0,0.058250178,0.0,0.0,0.0,0.0,0.0
MKW6_00076,0.0,0.0,0.053667624,0.0,0.0,0.0,0.0,0.0
MKW6_00077,0.0,0.0,0.05075939,0.0,0.0,0.0,0.0,0.0
MKW6_00078,0.0,0.0,0.0574997,0.0,0.0,0.0,0.0,0.0
MKW6_00079,0.0,0.0,0.05554,0.0,0.0,0.0,0.0,0.0
MKW6_00080,0.0,0.0,0.051280692,0.0,0.0,0.0,0.0,0.0
MKW6_00081,0.0,0.0,0.05269324,0.0,0.0,0.0,0.0,0.0
MKW6_00082,0.0,0.0,0.053008717,0.0,0.0,0.0,0.0,0.0
MKW6_00083,0.0,0.0,0.05520337,0.0,0.0,0.0,0.0,0.0
